GEM unit/phase ID;GEM location ID;Country/Area;Wiki URL;Plant name;Unit name;Plant name (other);Plant name (local);Owner;Parent;Capacity (MW);Status;Start year;Retired year;Planned retirement;Combustion technology;Coal type;Coal source;Alternate Fuel;Location;Local area (taluk, county);Major area (prefecture, district);Subnational unit (province, state);Subregion;Region;Latitude;Longitude;Location accuracy;Permits;Permit Date;Permit Parsed;Captive;Captive industry use;Captive residential use;Plant age (years);Capacity factor;Heat rate (Btu per kWh);Emission factor (kg of CO2 per TJ);Annual CO2 (million tonnes / annum);Remaining plant lifetime (years);Lifetime CO2 (million tonnes)
G100000103596;L100000101845;Finland;https://www.gem.wiki/Hanasaari_power_station;Hanasaari power station;Phase B Unit 1;;;Helen Oy [100%];Helen Oy [100.0%];114;retired;1974;2023;;subcritical;bituminous;;;Helsinki;;Helsinki;Uusimaa;Northern Europe;Europe;60,183678;24,971562;exact;;;;;;;49;0,53;12617,9;94600;0,666588467;0;0
G100000103597;L100000101845;Finland;https://www.gem.wiki/Hanasaari_power_station;Hanasaari power station;Phase B Unit 2;;;Helen Oy [100%];Helen Oy [100.0%];114;retired;1977;2023;;subcritical;bituminous;;;Helsinki;;Helsinki;Uusimaa;Northern Europe;Europe;60,183678;24,971562;exact;;;;;;;46;0,53;12617,9;94600;0,666588467;0;0
G100000103740;L100000101839;Finland;https://www.gem.wiki/Heinola_Plant_power_station;Heinola Plant power station;Unit 1;Heinola Fluting;;Stora Enso Oyj [100%];Stora Enso Oyj [100.0%];39,2;operating;1984;;;subcritical;bituminous;;;Heinola;;;Paijat-Hame;Northern Europe;Europe;61,2;26,033333;approximate;;;;pulp & paper;;;40;0,53;12617,9;94600;0,229212876;5;1,146064382
G100000104858;L100000101844;Finland;https://www.gem.wiki/Inkoo_power_station;Inkoo power station;Unit 1;;;Fortum Oyj [100%];Fortum Oyj [100.0%];250;retired;1974;2014;;unknown;bituminous;;;Inga;;;Southern Finland;Northern Europe;Europe;60,01749;23,91262;exact;;;;;;;40;0,53;12477,25;94600;1,445522142;0;0
G100000104859;L100000101844;Finland;https://www.gem.wiki/Inkoo_power_station;Inkoo power station;Unit 2;;;Fortum Oyj [100%];Fortum Oyj [100.0%];250;retired;1975;2014;;unknown;bituminous;;;Inga;;;Southern Finland;Northern Europe;Europe;60,01749;23,91262;exact;;;;;;;39;0,53;12477,25;94600;1,445522142;0;0
G100000104860;L100000101844;Finland;https://www.gem.wiki/Inkoo_power_station;Inkoo power station;Unit 3;;;Fortum Oyj [100%];Fortum Oyj [100.0%];250;retired;1978;2014;;unknown;bituminous;;;Inga;;;Southern Finland;Northern Europe;Europe;60,01749;23,91262;exact;;;;;;;36;0,53;12477,25;94600;1,445522142;0;0
G100000104861;L100000101844;Finland;https://www.gem.wiki/Inkoo_power_station;Inkoo power station;Unit 4;;;Fortum Oyj [100%];Fortum Oyj [100.0%];250;retired;1978;2014;;unknown;bituminous;;;Inga;;;Southern Finland;Northern Europe;Europe;60,01749;23,91262;exact;;;;;;;36;0,53;12477,25;94600;1,445522142;0;0
G100000105974;L100000101837;Finland;https://www.gem.wiki/Kristiina_power_station;Kristiina power station;Unit 2;;;Pohjolan Voima Oyj [100%];"UPM Energy Oy [48.0%]; small shareholder(s) [19.7%]; Stora Enso Oyj [15.7%]; Kymppivoima Oy [6.0%]; EPV Energia Oy [5.5%]; Kemira Oyj [5.1%]";242;retired;1983;2017;;subcritical;bituminous;;;Kristinestad (Kristiinankaupunki);;Sydösterbotten;Ostrobothnia;Northern Europe;Europe;62,254911;21,326515;exact;;;;;;;34;0,53;12617,9;94600;1,415038676;0;0
G100000106066;L100000101840;Finland;https://www.gem.wiki/Kymijarvi_power_station;Kymijarvi power station;Unit 1;;;Lahti Energia Oy [100%];Lahti Energia Oy [100.0%];138;retired;1982;2019;;subcritical;bituminous;;bioenergy, fossil liquids, fossil gas;Kymijarvi;;;Päijät-Häme;Northern Europe;Europe;60,9932;25,7193;exact;;;;;;;37;0,53;12617,9;94600;0,806922881;0;0
G100000106317;L100000101850;Finland;https://www.gem.wiki/Linnankatu_power_station;Linnankatu power station;Unit 1;;;Turku Energia AB [100%];Turku Energia AB [100.0%];35;retired;1960;2003;;unknown;anthracite;;;Turku;;;Southwest Finland;Northern Europe;Europe;60,43941;22,23785;exact;;;;;;;43;0,53;12477,25;98300;0,210288327;0;0
